id,recipe,link,imgLink,subCatId
R02869,Air Fryer Roasted Broccoli and Cauliflower,https://www.allrecipes.com/recipe/267105/air-fryer-roasted-broccoli-and-cauliflower/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5950250.jpg,SC090
R02870,Broccoli and Brussels Sprout Delight,https://www.allrecipes.com/recipe/239919/broccoli-and-brussels-sprout-delight/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3512089.jpg,SC090
R02871,Broccoli Casserole,https://www.allrecipes.com/recipe/18217/broccoli-casserole/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1122029.jpg,SC090
R02872,Cavatelli and Broccoli,https://www.allrecipes.com/recipe/11695/cavatelli-and-broccoli/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1056609.jpg,SC090
R02873,Broccoli Garlic Angel Hair Pasta,https://www.allrecipes.com/recipe/233998/broccoli-garlic-angel-hair-pasta/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1039395.jpg,SC090
R02874,Baked Broccoli,https://www.allrecipes.com/recipe/215676/baked-broccoli/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1130058.jpg,SC090
R02875,Broccoli Rice Casserole,https://www.allrecipes.com/recipe/216320/broccoli-rice-casserole/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F976802.jpg,SC090
R02876,Broccoli with Garlic Butter and Cashews,https://www.allrecipes.com/recipe/86687/broccoli-with-garlic-butter-and-cashews/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7758510.jpg,SC090
R02877,Broccoli with Lemon Butter Sauce,https://www.allrecipes.com/recipe/88520/broccoli-with-lemon-butter-sauce/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1100901.jpg,SC090
R02878,Fried Broccoli,https://www.allrecipes.com/recipe/187946/fried-broccoli/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2245571.jpg,SC090
R02879,Steamed Broccoli and Carrots with Lemon,https://www.allrecipes.com/recipe/241492/steamed-broccoli-and-carrots-with-lemon/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2147686.jpg,SC090
R02880,Broccoli Casserole with Rice,https://www.allrecipes.com/recipe/9082/broccoli-casserole-with-rice/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5271233.jpg,SC090
R02881,Lemon-Roasted Broccoli and Asparagus,https://www.allrecipes.com/recipe/283942/lemon-roasted-broccoli-and-asparagus/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9139180.jpg,SC090
R02882,Air Fryer Broccoli,https://www.allrecipes.com/recipe/283420/air-fryer-broccoli/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9067851.jpg,SC090
R02883,Broccoli Crumble,https://www.allrecipes.com/recipe/272506/broccoli-crumble/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6492169.jpg,SC090
R02884,Steamed Broccoli,https://www.allrecipes.com/recipe/237536/steamed-broccoli/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2256209.jpg,SC090
R02885,Rach's Broccoli Casserole,https://www.allrecipes.com/recipe/164998/rachs-broccoli-casserole/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1105518.jpg,SC090
